what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663658793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663686688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663690479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663693640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663697039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322663951305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322663969595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322663972427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322663999645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664001681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664003186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322664010026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664012412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664397600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322664423859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322664426090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322664435784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664438061
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322664497250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664497334
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664498543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664555435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664559853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322664568307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664573149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664593833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322664653592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664657097
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322664676107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664676154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664679668
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1322664964770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664964814
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664966552
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664979207
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664979290
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664980352
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664981752
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664981752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664986365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322664993963
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664994096
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1322664994116
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1322664994130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665038152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665041697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322665048965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665117022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665225292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322665389357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665391321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665408918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665413027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665615461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322665622901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322665626831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322716183955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322716186003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322716188528
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322716192809
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1322716198567
