what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1348859901833
ws,sysinfo,,,"cocoa",1348859901833
locale,sysinfo,,,"en_US",1348859901833
processors,sysinfo,,,"2",1348859901833
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348859901833
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1348859901833
java.specification.name,sysinfo,,,"Java Platform API Specification",1348859901833
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348859901833
java.specification.version,sysinfo,,,"1.6",1348859901833
java.vendor,sysinfo,,,"Apple Inc.",1348859901833
java.version,sysinfo,,,"1.6.0_33",1348859901833
java.vm.info,sysinfo,,,"mixed mode",1348859901833
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348859901833
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348859901833
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348859901833
java.vm.specification.version,sysinfo,,,"1.0",1348859901833
java.vm.vendor,sysinfo,,,"Apple Inc.",1348859901833
java.vm.version,sysinfo,,,"20.8-b03-424",1348859901833
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1348859902881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348859903800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348859908191
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348859913687
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348859913765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348859929932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348859981406
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348859982103
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348859982139
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1348859982160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348859985767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348870612980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348870636002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348870637307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348870637890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348870877375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348871019929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348871034099
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348871034345
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348871034376
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1348871034377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348871319345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873282129
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873575453
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873575453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1348873575479
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348873581737
closed,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873581737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873585899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873598685
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873598968
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873599023
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1348873599038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873605622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873613674
opened,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873613882
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1348873613911
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1348873613913
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1348873621381
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1348873621647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873690007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873744422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873755610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873757503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873758709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348873843989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348874435982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348910523536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348910526685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348911038338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348911070564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348912048802
